file,cycle,size_kb,path
ALB_CR_J.XPT,J,497.8,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/ALB_CR_J.XPT
BIOPRO_J.XPT,J,2056.7,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/BIOPRO_J.XPT
BMX_J.XPT,J,1431.6,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/BMX_J.XPT
BPQ_J.XPT,J,531.8,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/BPQ_J.XPT
BPXO_J.XPT,J,726.9,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/BPXO_J.XPT
DEMO_J.XPT,J,3332.7,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/DEMO_J.XPT
DIQ_J.XPT,J,3761.6,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/DIQ_J.XPT
GHB_J.XPT,J,101.1,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/GHB_J.XPT
PAQ_J.XPT,J,780.9,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/PAQ_J.XPT
SMQ_J.XPT,J,1949.5,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/J/SMQ_J.XPT
ALB_CR_L.XPT,L,532.7,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/ALB_CR_L.XPT
BIOPRO_L.XPT,L,2368.7,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/BIOPRO_L.XPT
BMX_L.XPT,L,1526.6,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/BMX_L.XPT
BPQ_L.XPT,L,400.1,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/BPQ_L.XPT
BPXO_L.XPT,L,733.8,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/BPXO_L.XPT
DEMO_L.XPT,L,2521.6,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/DEMO_L.XPT
DIQ_L.XPT,L,827.7,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/DIQ_L.XPT
GHB_L.XPT,L,169.9,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/GHB_L.XPT
PAQ_L.XPT,L,511.4,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/PAQ_L.XPT
SMQ_L.XPT,L,635.9,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/L/SMQ_L.XPT
NHANES_2017_2018_MORT_2019_PUBLIC.dat,NA,439.1,/Users/the.lab.701/Documents/Work/Job Application/UM Jobs/KECC/ckd-survival-analysis/data/raw/mortality/NHANES_2017_2018_MORT_2019_PUBLIC.dat
