term,estimate,std.error,statistic,p.value,conf.low,conf.high
ckd_stageG2 (60–89),1.0915941251757024,0.3167379088298415,0.27669289196937547,0.7820159302583097,0.5867503980492492,2.030808565413349
ckd_stageG3a (45–59),1.1965639659458218,0.4197945006260861,0.42748079727603494,0.6690291687493145,0.5255405041316936,2.724367224493152
ckd_stageG3b (30–44),1.751465874316013,0.4624997599521752,1.2117910717034859,0.22559236685414247,0.707491408791304,4.335929271755224
ckd_stageG4 (15–29),0.758016404087263,1.081015595487785,-0.2562870077492721,0.7977292286372125,0.09109959811653293,6.307260193731935
ckd_stageG5 (<15),1.4698891480601204e-7,2914.531455030619,-0.005398091907822192,0.9956929667263555,0,Inf
log_uacr,1.1865856776352954,0.08974488556213012,1.9062925269938622,0.056612263269478776,0.995194843067875,1.4147838286911065
age_10,1.7315476313467426,0.10994168531727541,4.99369817386813,5.923394482865033e-7,1.3958922961088915,2.147914425762133
sexFemale,0.7035777501304762,0.2490621787462867,-1.4116028827995843,0.15806692310701426,0.4318271917913812,1.146342008767737
race_ethMexican American,0.42225714171869727,0.48501942705900436,-1.7775387167083332,0.07547964661089444,0.16320284258705633,1.0925121824231332
race_ethOther Hispanic,0.2987697314426962,0.6062181995243009,-1.99281732583296,0.046281453843163504,0.09105896920552942,0.9802807258323374
race_ethNon-Hispanic Black,0.5215824144536513,0.32502538964792904,-2.0025758118901433,0.045222838266312224,0.27584227573811715,0.9862455431798326
race_ethNon-Hispanic Asian,1.0629467727990725,0.4448922762511425,0.13721304850470192,0.8908623972492274,0.44444551255446596,2.5421695345962148
race_ethOther/Multiracial,NA,0,NA,NA,NA,NA
poverty_catBelow poverty,2.746552782953348,0.42931411002869785,2.3533971240990756,0.01860275465540727,1.184009308293846,6.3711933147037625
poverty_catLow income,2.4759721484372457,0.37756648914336793,2.401254169045299,0.016338983266372457,1.1813010143647156,5.189564730149494
poverty_catMiddle income,1.3489953423030423,0.4197160740068423,0.7132443645971142,0.47569455790449516,0.592580669450199,3.0709547701644
diabetes,1.7286685426312425,0.2631274308519445,2.0801764448676106,0.03750935193632315,1.0321367787674283,2.8952508928626965
hypertension,0.9983964574960285,0.2535053215811468,-0.006330555683487696,0.9949489810962493,0.6074617129266258,1.6409190326387206
bmi_catUnderweight,1.7443649071108673,0.6199143315294076,0.8975281115957874,0.3694371797832854,0.5175654833522519,5.879080091376548
bmi_catOverweight,0.31485739704534266,0.3095949670598833,-3.732733323887169,1.8941310227448704e-4,0.17162722757130186,0.5776191917624681
bmi_catObese,0.37257622466557144,0.2848606390236263,-3.465953160484921,5.283553169952244e-4,0.21317747905483322,0.6511618572539037
pa_catSedentary,1.3174321563024705,0.2599457746417742,1.0605462089924156,0.28889617934490486,0.7915202225053476,2.1927771863694248
pa_catLow active,0.7740668910622229,0.5008104076123218,-0.5113651447193124,0.6090953967317462,0.29006003836955874,2.0657087243273913
smokingCurrent/Former,1.4763922838222026,0.24981004280797658,1.5595908852757598,0.11885659182325702,0.9048218359048954,2.4090203056934714
