term,estimate,std.error,statistic,df,p.value,2.5 %,97.5 %,conf.low,conf.high
ckd_stageG2 (60–89),1.1470086207566044,0.2900778398508373,0.4728294795160776,75.71862530393305,0.6376949879621518,0.6436388797270904,2.044048017496718,0.6436388797270904,2.044048017496718
ckd_stageG3a (45–59),1.6833286823660762,0.3652488036041221,1.4258039630129502,74.90784782718538,0.15807901930510976,0.8131380271882025,3.484765634039728,0.8131380271882025,3.484765634039728
ckd_stageG3b (30–44),2.3564091619686707,0.40375653684532065,2.1229103198578154,74.15494220400902,0.0370991831788605,1.0540758243998127,5.267803330724868,1.0540758243998127,5.267803330724868
ckd_stageG4 (15–29),2.7595312330681425,0.6292154456163996,1.6132166323705683,72.40919175915853,0.11104755991420344,0.7873076801868774,9.672219410422954,0.7873076801868774,9.672219410422954
ckd_stageG5 (<15),1.1801349291875836,1.0917261755687755,0.1517127485042923,74.76197366635995,0.8798221556673818,0.13408051699521376,10.387179899808249,0.13408051699521376,10.387179899808249
log_uacr,1.2006893337158437,0.08348182096794844,2.190846276546171,52.00051131239711,0.03296808147620776,1.0154961862664074,1.419655628052541,1.0154961862664074,1.419655628052541
age_10,1.7286598194323897,0.09861153465593556,5.550531581914661,75.78708817677173,4.015576942354842e-7,1.4203958800030405,2.103825287999023,1.4203958800030405,2.103825287999023
sexFemale,0.7894009377438486,0.21306647077604868,-1.109892734286243,75.65977435504932,0.27056040534074627,0.5164016401693932,1.2067232015499734,0.5164016401693932,1.2067232015499734
race_ethMexican American,0.41585675041046694,0.4494720078162717,-1.9521002704053498,63.39464729904084,0.05534612313936964,0.16939819559543204,1.020889486184213,0.16939819559543204,1.020889486184213
race_ethOther Hispanic,0.2663342246366476,0.5902793673496723,-2.2413171601425863,67.74312861067052,0.02828606936616809,0.08200555491904517,0.8649891983881988,0.08200555491904517,0.8649891983881988
race_ethNon-Hispanic Black,0.6598780467665478,0.26060618889748705,-1.5951280375199326,72.49010036167616,0.11503453738181456,0.3925273038587259,1.1093216505549195,0.3925273038587259,1.1093216505549195
race_ethNon-Hispanic Asian,0.8091771352603111,0.43654620290083235,-0.48502868347404937,73.99224027331196,0.6290889316457705,0.3390606623145932,1.9311223890094507,0.3390606623145932,1.9311223890094507
race_ethOther/Multiracial,NA,NA,NA,NA,NA,NA,NA,NA,NA
poverty_catBelow poverty,2.436637944644865,0.38017547569307275,2.3426529446094024,60.13225983479884,0.022474326202278246,1.1390441234691633,5.212444672643876,1.1390441234691633,5.212444672643876
poverty_catLow income,2.2349752446082585,0.3281210190294973,2.4510168661093186,64.60819381294412,0.016960831403970634,1.1605010839247472,4.304273742785797,1.1605010839247472,4.304273742785797
poverty_catMiddle income,1.3070986366420665,0.3691725862541129,0.7254327914375958,62.63039077081662,0.47088853893025095,0.6249973560224171,2.7336225176771296,0.6249973560224171,2.7336225176771296
diabetes,1.4903035330384717,0.2319079501901121,1.7204231779555905,74.4762174888515,0.08950819796016089,0.9388892272613927,2.3655661989703596,0.9388892272613927,2.3655661989703596
hypertension,0.9304313261021839,0.2248541447134694,-0.3206834765578151,75.42458942124131,0.7493370849539058,0.5945216727108504,1.4561327068951255,0.5945216727108504,1.4561327068951255
bmi_catUnderweight,1.759556082090342,0.611500514859156,0.9240573595932732,75.97797881432606,0.35838194712503535,0.5205585112590342,5.9475304678680025,0.5205585112590342,5.9475304678680025
bmi_catOverweight,0.3697870887569552,0.27425568792649163,-3.6273737193346345,75.70655290700363,5.171058695420613e-4,0.2141476265176163,0.6385431080185028,0.2141476265176163,0.6385431080185028
bmi_catObese,0.5230197359832436,0.24836518579532713,-2.609609222999922,75.63130780214624,0.010921466048836608,0.3189129117912668,0.857756566491808,0.3189129117912668,0.857756566491808
pa_catSedentary,1.2398849791125537,0.2357042392585527,0.9122390721981174,75.6291317575688,0.36454164665741595,0.7753317379889169,1.9827832218199652,0.7753317379889169,1.9827832218199652
pa_catLow active,0.7775336700621537,0.45677541762063445,-0.550879755375129,75.85354740145434,0.5833350237385242,0.3130464099924935,1.9312108006439648,0.3130464099924935,1.9312108006439648
smokingCurrent/Former,1.512812109119448,0.21840606197058046,1.8954155348836734,75.22756424185918,0.061878919240498376,0.9791255788795308,2.337392186319357,0.9791255788795308,2.337392186319357
