subgroup,level,term,hr,conf_low,conf_high,p_value,n,events
Diabetes status,No diabetes,ckd_stageG3a (45–59),1.8536438766119276,0.6803153604108911,5.0505924476343615,0.2275161032771181,4090,61
Diabetes status,No diabetes,ckd_stageG3b (30–44),2.2525017278929815,0.6245989454229688,8.123235031600949,0.21466717764249524,4090,61
Diabetes status,No diabetes,ckd_stageG4 (15–29),2.126977354468556e-7,0,Inf,0.9952782543090608,4090,61
Diabetes status,No diabetes,ckd_stageG5 (<15),3.8755300265349856e-07,0,Inf,0.997479510843553,4090,61
Diabetes status,Diabetes,ckd_stageG3a (45–59),1.0165852255601289,0.2687696336479558,3.8450977768596513,0.9806655264613247,948,41
Diabetes status,Diabetes,ckd_stageG3b (30–44),2.0087280083278416,0.5306862611149734,7.6033402541140145,0.3043928636744186,948,41
Diabetes status,Diabetes,ckd_stageG4 (15–29),1.4523807254229966,0.15703239133344102,13.432959618510358,0.7422857866693424,948,41
Diabetes status,Diabetes,ckd_stageG5 (<15),7.999346891320857e-8,0,Inf,0.9971452874478246,948,41
Age group,Age < 60,ckd_stageG3a (45–59),2.062623910689195e-8,0,Inf,0.9987161236790472,3202,21
Age group,Age < 60,ckd_stageG3b (30–44),2.581280707460047e-8,0,Inf,0.9997159874427013,3202,21
Age group,Age < 60,ckd_stageG4 (15–29),2.0068207524261832e-8,0,Inf,0.9996872470560958,3202,21
Age group,Age < 60,ckd_stageG5 (<15),1.726939758165992e-8,0,Inf,0.9995884473494279,3202,21
Age group,Age ≥ 60,ckd_stageG3a (45–59),1.761409979343012,0.6942580684319298,4.468893134129054,0.23334486445833644,1836,81
Age group,Age ≥ 60,ckd_stageG3b (30–44),2.244584981986125,0.7994451194833438,6.302073298807125,0.1247764819736547,1836,81
Age group,Age ≥ 60,ckd_stageG4 (15–29),0.9452648831563348,0.10868003647738286,8.221617587646918,0.9593208537322171,1836,81
Age group,Age ≥ 60,ckd_stageG5 (<15),2.520819451903036e-7,0,Inf,0.9961299870186104,1836,81
